Направление,Конкурсн. группа,КЦП_Б,КЦП_К,Цена,Предмет 1,Предмет 2,Предмет 3,Мин. балл 1,Мин. балл 2,Мин. балл 3,Балл,Конкурс_Б,Конкурс_К
11.03.04 Электроника и наноэлектроника,Электроника и наноэлектроника,235,40,135000,Математика,Информатика,Русский язык,50,50,50,229,13.2,10.1
11.03.01 Радиотехника,Радиотехника (Интеллектуальные радиотехнические системы),58,10,135000,Математика,Информатика,Русский язык,50,50,50,230,17.2,7.8
11.03.01 Радиотехника,Радиотехника (Системы компьютерного зрения),38,10,135000,Математика,Информатика,Русский язык,50,50,50,229,14.2,7.4
11.03.02 Инфокоммуникационные технологии и системы связи,Инфокоммуникационные технологии и системы связи,69,15,135000,Математика,Информатика,Русский язык,50,50,50,215,38.7,30.3
11.03.03 Конструирование и технология электронных средств,Конструирование и технология электронных средств,50,10,135000,Математика,Информатика,Русский язык,50,50,50,220,32.7,18.2
11.05.01 Радиоэлектронные системы и комплексы,Радиоэлектронные системы и комплексы,25,5,135000,Математика,Информатика,Русский язык,50,50,50,225,26.7,14.4
28.03.01 Нанотехнологии и микросистемная техника,Нанотехнологии и микросистемная техника,60,10,150200,Математика,Информатика,Русский язык,50,50,50,203,35.1,28
01.03.02 Прикладная математика и информатика,Прикладная математика и информатика,87,80,135000,Математика,Информатика,Русский язык,70,70,70,212,27.8,8.4
09.03.01 Информатика и вычислительная техника,Информатика и вычислительная техника (Искусственный интеллект),100,80,135000,Математика,Физика,Русский язык,65,65,65,246,24.9,8
09.03.01 Информатика и вычислительная техника,Информатика и вычислительная техника (Компьютерное моделирование и проектирование),50,52,135000,Математика,Физика,Русский язык,65,65,65,231,19.1,6.2
09.03.02 Информационные системы и технологии,Информационные системы и технологии,100,92,135000,Математика,Физика,Русский язык,60,60,60,250,40.6,11.5
09.03.04 Программная инженерия,Программная инженерия,55,50,135000,Математика,Информатика,Русский язык,75,75,70,240,38.8,14.1
10.05.01 Компьютерная безопасность,Компьютерная безопасность,70,60,135000,Математика,Информатика,Русский язык,65,65,65,200,31.1,10.7
27.03.03 Системный анализ и управление,Системный анализ и управление,20,10,135000,Математика,Физика,Русский язык,60,60,60,211,54.5,20.3
27.03.04 Управление в технических системах,Управление в технических системах (Компьютерные интеллектуальные технологии управления в технических системах),40,30,135000,Математика,Информатика,Русский язык,60,60,60,247,13.4,7.8
13.03.02 Электроэнергетика и электротехника,Электроэнергетика и электротехника,120,20,135000,Математика,Физика,Русский язык,50,45,50,227,13.9,10.2
15.03.06 Мехатроника и робототехника,Мехатроника и робототехника,15,15,135000,Математика,Физика,Русский язык,50,45,50,248,66.6,12.1
27.03.04 Управление в технических системах,Управление в технических системах (Автоматика и робототехнические системы),85,18,135000,Математика,Информатика,Русский язык,50,50,50,245,18.8,7.2
12.03.01 Приборостроение,Приборостроение (Информационно-измерительные системы и геоинформационные технологии),50,10,135000,Математика,Информатика,Русский язык,50,50,50,248,8.7,4.8
12.03.01 Приборостроение,"Приборостроение (Лазерные, акустические и навигационные системы)",85,22,135000,Математика,Информатика,Русский язык,50,50,50,205,13.5,6.5
12.03.04 Биотехнические системы и технологии,Биотехнические системы и технологии,60,15,135000,Математика,Информатика,Русский язык,50,50,50,240,17.3,12.7
20.03.01 Техносферная безопасность,Техносферная безопасность,40,5,135000,Математика,Физика,Русский язык,50,45,50,237,12,10.6
27.03.02 Управление качеством,Управление качеством,22,15,135000,Математика,Информатика,Русский язык,60,60,60,211,14.5,9.1
27.03.05 Инноватика,Инноватика,14,32,135000,Математика,Информатика,Русский язык,60,60,60,221,48.6,9.6
42.03.01 Реклама и связи с общественностью,Реклама и связи с общественностью,3,180,135000,Английский язык,Русский язык,Обществознание,70,75,70,219,83.3,2.4
45.03.02 Лингвистика,Лингвистика,25,120,135000,Английский язык,Русский язык,Обществознание,70,75,70,240,17.5,3.7
38.03.02 Менеджмент,Менеджмент,0,20,95000,Математика,Обществознание,Русский язык,45,50,40,230,0,11.7
11.03.04 Электроника и наноэлектроника,Электроника и наноэлектроника,0,29,45000,Математика,Физика,Русский язык,45,40,40,204,0,3.4
09.03.01 Информатика и вычислительная техника,Информатика и вычислительная техника,0,50,45000,Математика,Физика,Русский язык,55,45,50,205,0,2.1
27.03.04 Управление в технических системах,Управление в технических системах,0,25,45000,Математика,Физика,Русский язык,50,45,50,233,0,2.6
