ОбразовательнаяПрограмма,ГруппаВакансий,КлючевоеТребование,КраткоеОписание,Дисциплина,Аннотация
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Объектно­ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно­ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,Data Scientist,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математические основы машинного обучения,"Курс должен подготовить специалистов в области анализа данных и машинного обучения, владеющих теоретическими основами методов машинного обучения, обладающих навыками построения обучающихся моделей с использованием современных программных средств и способных применять методы машинного обучения для решения прикладных задач."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Информационные технологии,Рассматривается введение в классические задачи машинного обучения
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Машинное обучение с подкреплением,"Машинное обучение с подкреплением ­ является подразделом машинного обучения, который изучает алгоритмы, способные решать задачи искусственного интеллекта методом проб и ошибок, без использования каких-либо априорных знаний о решаемой задаче."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Обработка аудиосигналов,"Рассматриваются основные понятия машинного обучения: постановки задач обучения, методы подготовки данных для обучения, принципы обучения, методы статистического анализа обучающих данных и результатов обучения, методы оценки качества обученных моделей. Слушатели подробно знакомятся с алгоритмами машинного обучения, решающие задачи кластеризации, классификации, регрессии, снижения размерности. В число изучаемых алгоритмов классификации входят алгоритмы ближайшего соседа, SVM, байесовские методы, деревья решений."
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Информационные технологии,Изучаются основы предварительной обработки данных с помощью модуля pandas.
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Numpy,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Spark,"Распределенная вычислительная система, предназначенная для обработки больших объемов данных",Большие данные,"Изучаются основные парадигмы распределенной обработки данных. В рамках дисциплины рассматриваются средства для работы с данными различного вида: структурированными, псевдоструктурированными, не­структурированными, потоковыми, распределенными и другими."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Объектно­ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно­ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,Data Scientist,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математические основы машинного обучения,"Курс должен подготовить специалистов в области анализа данных и машинного обучения, владеющих теоретическими основами методов машинного обучения, обладающих навыками построения обучающихся моделей с использованием современных программных средств и способных применять методы машинного обучения для решения прикладных задач."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Информационные технологии,Рассматривается введение в классические задачи машинного обучения
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Машинное обучение с подкреплением,"Машинное обучение с подкреплением ­ является подразделом машинного обучения, который изучает алгоритмы, способные решать задачи искусственного интеллекта методом проб и ошибок, без использования каких-либо априорных знаний о решаемой задаче."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Обработка аудиосигналов,"Рассматриваются основные понятия машинного обучения: постановки задач обучения, методы подготовки данных для обучения, принципы обучения, методы статистического анализа обучающих данных и результатов обучения, методы оценки качества обученных моделей. Слушатели подробно знакомятся с алгоритмами машинного обучения, решающие задачи кластеризации, классификации, регрессии, снижения размерности. В число изучаемых алгоритмов классификации входят алгоритмы ближайшего соседа, SVM, байесовские методы, деревья решений."
