RpdID,PlanStringID,Subject,DepartmentID,PlanID,SpecialtyCipher
922,2005826,Программная инженерия,8,5074,27.03.05
925,2005830,Управление инновационными проектами,8,5074,27.03.05
924,2005831,Информационные технологии в менеджменте,8,5074,27.03.05
916,2005835,Теория менеджмента,8,5074,27.03.05
918,2005841,Правовые основы инновационной деятельности,8,5074,27.03.05
917,2005842,Организационное поведение,8,5074,27.03.05
921,2005843,Методы эконометрического анализа производственной деятельности,8,5074,27.03.05
920,2005844,Имитационное моделирование экономических процессов,8,5074,27.03.05
923,2005848,Алгоритмы решения нестандартных задач,8,5074,27.03.05
926,2005852,Документационное обеспечение управления,8,5074,27.03.05
928,2005859,Информационный бизнес,8,5074,27.03.05
929,2005862,Информатизация маркетинговой деятельности,8,5074,27.03.05
930,2005864,Терминология бизнеса (на английском языке),8,5074,27.03.05
5360,2005836,Общая теория статистики,19,5074,27.03.05
1388,2005836,Общая теория статистики,19,5074,27.03.05
841,2005854,Психология бизнеса,19,5074,27.03.05
1723,2005820,Основы электротехники и электроники,29,5074,27.03.05
1722,2005820,Основы электротехники и электроники,29,5074,27.03.05
5476,1979857,Философия,43,4614,01.03.02
866,1979864,Экономика,19,4614,01.03.02
398,1979866,Организация ЭВМ и систем,14,4614,01.03.02
4811,1979869,Социология,42,4614,01.03.02
479,1979871,Теория автоматов и формальных языков,14,4614,01.03.02
409,1979871,Теория автоматов и формальных языков,14,4614,01.03.02
390,1979876,Алгоритмы и структуры данных,14,4614,01.03.02
403,1979878,Построение и анализ алгоритмов,14,4614,01.03.02
397,1979879,Объектно-ориентированное программирование,14,4614,01.03.02
413,1979880,Web-технологии,14,4614,01.03.02
473,1979881,Методы оптимизации,14,4614,01.03.02
401,1979882,Основы технологий хранения данных,14,4614,01.03.02
1218,1979885,Криптография и защита информации,58,4614,01.03.02
402,1979893,Параллельные алгоритмы,14,4614,01.03.02
476,1979894,Программирование на Ассемблере,14,4614,01.03.02
404,1979894,Программирование на Ассемблере,14,4614,01.03.02
407,1979896,Цифровая обработка сигналов,14,4614,01.03.02
412,1979897,Введение в нереляционные системы управления базами данных,14,4614,01.03.02
392,1979899,Интеллектуальные системы,14,4614,01.03.02
477,1979900,Цифровая обработка изображений,14,4614,01.03.02
480,1979906,Тестирование программного обеспечения,14,4614,01.03.02
410,1979906,Тестирование программного обеспечения,14,4614,01.03.02
394,1979907,Логическое программирование,14,4614,01.03.02
400,1979913,Основы промышленной разработки программного обеспечения,14,4614,01.03.02
405,1979915,Сети и телекоммуникации,14,4614,01.03.02
396,1979916,Машинное обучение,14,4614,01.03.02
395,1979916,Машинное обучение,14,4614,01.03.02
411,1979917,Управление разработкой и экономика программных проектов,14,4614,01.03.02
399,1979918,Основы подготовки научных публикаций,14,4614,01.03.02
474,1979918,Основы подготовки научных публикаций,14,4614,01.03.02
408,1979926,Теория игр и исследование операций,14,4614,01.03.02
478,1979926,Теория игр и исследование операций,14,4614,01.03.02
391,1979927,Базы знаний и экспертные системы,14,4614,01.03.02
406,1979928,Статистические методы обработки экспериментальных данных,14,4614,01.03.02
867,1980211,Экономика,19,4619,09.03.04
442,1980214,Операционные системы,14,4619,09.03.04
469,1980215,Базы данных,14,4619,09.03.04
4830,1980216,Социология,42,4619,09.03.04
450,1980217,"Спецификация, проектирование и архитектура программных систем",14,4619,09.03.04
451,1980219,Теория автоматов и формальных языков,14,4619,09.03.04
429,1980227,Объектно-ориентированное программирование,14,4619,09.03.04
470,1980229,Методы оптимизации,14,4619,09.03.04
432,1980230,Основы технологий хранения данных,14,4619,09.03.04
438,1980231,Компьютерная графика,14,4619,09.03.04
447,1980243,Программирование на Ассемблере,14,4619,09.03.04
436,1980245,Функциональное программирование,14,4619,09.03.04
433,1980246,Цифровая обработка сигналов,14,4619,09.03.04
437,1980248,Интеллектуальные системы,14,4619,09.03.04
426,1980255,Базы знаний и экспертные системы,14,4619,09.03.04
452,1980256,Теория принятия решений,14,4619,09.03.04
428,1980259,Качество и метрология программного обеспечения,14,4619,09.03.04
431,1980263,Основы промышленной разработки программного обеспечения,14,4619,09.03.04
449,1980265,Сети и телекоммуникации,14,4619,09.03.04
441,1980266,Машинное обучение,14,4619,09.03.04
430,1980269,Основы подготовки научных публикаций,14,4619,09.03.04
461,1980269,Основы подготовки научных публикаций,14,4619,09.03.04
460,1980270,Введение в нереляционные системы управления базами данных,14,4619,09.03.04
427,1980270,Введение в нереляционные системы управления базами данных,14,4619,09.03.04
440,1980271,Логическое программирование,14,4619,09.03.04
448,1980272,Разработка приложений для мобильных платформ,14,4619,09.03.04
439,1980273,Конструирование программного обеспечения,14,4619,09.03.04
464,1980274,Проектирование человеко-машинного интерфейса,14,4619,09.03.04
446,1980274,Проектирование человеко-машинного интерфейса,14,4619,09.03.04
4892,1982705,Социальные коммуникации в профессиональной среде,42,4673,01.04.02
471,1982710,Разработка языковых процессоров,14,4673,01.04.02
424,1982710,Разработка языковых процессоров,14,4673,01.04.02
423,1982711,Представление знаний и системы искусственного интеллекта,14,4673,01.04.02
420,1982715,Гидроакустические приборы и антенны,63,4673,01.04.02
417,1982718,Алгоритмы пространственно-временной обработки гидроакустических сигналов,63,4673,01.04.02
415,1982721,"Алгоритмы обнаружения, сопровождения и классификации гидроакустических целей",63,4673,01.04.02
418,1982724,Алгоритмы вычислительной геометрии,14,4673,01.04.02
416,1982725,Архитектура программного обеспечения гидроакустических систем,63,4673,01.04.02
2109,1982731,Многопоточное и распределенное программирование,14,4673,01.04.02
774,1982733,Алгоритмы компьютерного зрения,14,4673,01.04.02
419,1982734,Численные методы решения прикладных задач,14,4673,01.04.02
593,1982997,Иностранный язык,9,4683,09.04.04
597,1982999,"Анализ, моделирование и оптимизация систем",14,4683,09.04.04
4901,1983001,Социальные коммуникации в профессиональной среде,42,4683,09.04.04
343,1983017,Программное обеспечение вторичной обработки информации гидроакустических систем,63,4683,09.04.04
342,1983017,Программное обеспечение вторичной обработки информации гидроакустических систем,63,4683,09.04.04
389,1983022,Учебная практика (технологическая (проектно-технологическая) практика),14,4683,09.04.04
388,1983025,Выполнение и защита выпускной квалификационной работы,14,4683,09.04.04
1843,1983030,Многопоточное и распределенное программирование,14,4683,09.04.04
382,1983030,Многопоточное и распределенное программирование,14,4683,09.04.04
377,1983031,Представление знаний и системы искусственного интеллекта,14,4683,09.04.04
203,1997688,Педагогическая практика,26,4963,42.04.01
4883,2005833,Социология,42,5074,27.03.05
601,2005809,Микроэкономика,44,5074,27.03.05
600,2005811,Макроэкономика,44,5074,27.03.05
60,2002801,Микропроцессорные устройства систем управления,25,5034,15.03.06
627,2005628,Информатика,15,5072,27.03.02
645,2005635,Теория управления,15,5072,27.03.02
646,2005641,Всеобщий менеджмент качества,15,5072,27.03.02
647,2005642,Основы менеджмента качества,15,5072,27.03.02
650,2005644,Информационные технологии в управлении качеством,15,5072,27.03.02
651,2005645,Методы и инструменты управления качеством,15,5072,27.03.02
652,2005646,Проектирование систем менеджмента качества,15,5072,27.03.02
629,2005655,Управление инфраструктурой организации,15,5072,27.03.02
630,2005656,Коммерческое право,15,5072,27.03.02
631,2005657,Надежность и испытание технических систем,15,5072,27.03.02
697,2005658,Методы принятия управленческих решений,15,5072,27.03.02
632,2005661,Управление малым коллективом,15,5072,27.03.02
633,2005662,Проектирование и эксплуатация технических систем,15,5072,27.03.02
634,2005663,Профессиональный английский язык,15,5072,27.03.02
635,2005664,Патентоведение,15,5072,27.03.02
636,2005665,Сертификация и аудит систем менеджмента качества,15,5072,27.03.02
637,2005672,Информационные технологии в управлении предприятием,15,5072,27.03.02
638,2005673,"Информационные технологии обработки данных, графики и мультимедиа",15,5072,27.03.02
648,2005675,Введение в специальность,15,5072,27.03.02
1508,2005692,Управление рисками в менеджменте качества,15,5072,27.03.02
639,2005693,Отраслевые и специальные системы менеджмента,15,5072,27.03.02
640,2005695,Управление процессами,15,5072,27.03.02
641,2005698,ИПИ-технологии,15,5072,27.03.02
642,2005699,Автоматизированное управление жизненным циклом продукции,15,5072,27.03.02
643,2005701,Интегрированные системы менеджмента,15,5072,27.03.02
644,2005702,Правовое обеспечение менеджмента качества,15,5072,27.03.02
653,2005705,Учебная практика (ознакомительная практика),15,5072,27.03.02
654,2005706,Производственная практика (технологическая (производственно-технологическая) практика),15,5072,27.03.02
655,2005707,Производственная практика (преддипломная практика),15,5072,27.03.02
656,2005708,Подготовка к процедуре  защиты и защита выпускной квалификационной работы,15,5072,27.03.02
851,2005652,Экономика организации,19,5072,27.03.02
4285,2005681,Мировая экономика,19,5072,27.03.02
4876,2005629,Социология,42,5072,27.03.02
2372,2009139,Процессы электронных и ионных технологий,32,5164,11.04.04
15510,2009767,Основы конструирования и технологии радиоэлектронных средств,16,5179,11.03.01
7867,1983482,Проектный менеджмент,8,4691,12.03.04
1711,1983479,Теоретические основы электротехники,29,4691,12.03.04
4860,1983485,Социология,42,4691,12.03.04
1635,1991569,Управление личными финансами,19,4855,28.03.01
839,1991569,Управление личными финансами,19,4855,28.03.01
5707,2009154,Выполнение и защита выпускной квалификационной работы,32,5164,11.04.04
4625,2010505,Основы проектирования мощных электронных средств,22,5190,11.03.03
4627,2010506,Основы проектирования приемных устройств,22,5190,11.03.03
4626,2010507,Основы теории надежности и контроля качества электронных средств,22,5190,11.03.03
7379,2010689,Проектный менеджмент,8,5193,11.04.01
6480,2010691,Основы научных исследований,43,5193,11.04.01
5169,2010844,Моделирование микроволновых устройств,22,5197,11.04.02
5170,2010845,Системы связи с подвижными объектами,22,5197,11.04.02
3101,2010890,Иностранный язык (Foreign Language),9,5198,11.04.03
7382,2010923,Проектный менеджмент,8,5200,11.04.03
4562,2010927,Сети инфокоммуникаций,22,5200,11.04.03
4560,2010932,Фильтры и согласующие цепи сверхвысоких частот,22,5200,11.04.03
4565,2010942,Учебная практика (научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)),22,5200,11.04.03
4566,2010943,Производственная практика (научно-исследовательская работа),22,5200,11.04.03
4567,2010944,Производственная практика (преддипломная практика),22,5200,11.04.03
4569,2010946,Актуальные проблемы радиоэлектроники,22,5200,11.04.03
1729,2010964,Теоретические основы электротехники,29,5201,11.05.01
3889,2011031,Информационные технологии,22,5202,11.05.01
1730,2011032,Теоретические основы электротехники,29,5202,11.05.01
3891,2011043,Генерирование колебаний и формирование радиосигналов,22,5202,11.05.01
3892,2011044,Прием и обработка радиосигналов,22,5202,11.05.01
3879,2011050,Телекоммуникационные сети и системы,22,5202,11.05.01
3880,2011051,Основы беспроводной связи,22,5202,11.05.01
3885,2011056,Цифровые методы формирования радиосигналов,22,5202,11.05.01
3886,2011057,Устройства СВЧ радиоэлектронных средств,22,5202,11.05.01
3888,2011063,Информатика,22,5202,11.05.01
3877,2011067,Электропреобразовательные устройства радиоэлектронных средств,22,5202,11.05.01
6789,2011073,Основы компьютерного проектирования радиоэлектронных средств,22,5202,11.05.01
3878,2011073,Основы компьютерного проектирования радиоэлектронных средств,22,5202,11.05.01
4570,2010947,Научный семинар,22,5200,11.04.03
6574,2011357,Философия,43,5206,11.03.01
